Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2015-08-12,21327.15,21327.15,20836.65,20877.2,80704237.0,29467100000.0,23.57,3.04,1.15
2015-08-13,20997.5,21190.7,20756.9,20806.55,105964220.0,31588900000.0,23.43,3.03,1.15
2015-08-14,20948.8,21271.55,20885.95,21250.8,97460373.0,36639900000.0,23.22,3.08,1.14
2015-08-17,21310.95,21404.75,21107.65,21364.5,90817881.0,31471200000.0,23.49,3.1,1.13
2015-08-18,21492.7,21555.4,21336.35,21465.6,73748668.0,28445700000.0,23.6,3.11,1.12
2015-08-19,21462.5,21618.25,21361.1,21485.05,55977795.0,25379200000.0,23.62,3.11,1.12
2015-08-20,21496.85,21599.6,21177.4,21207.3,76905374.0,34531200000.0,23.31,3.07,1.14
2015-08-21,21003.0,21101.75,20789.9,21046.15,74830566.0,31595200000.0,23.14,3.05,1.15
2015-08-24,20430.0,20430.0,19227.8,19314.2,123138127.0,44593400000.0,21.23,2.79,1.25
2015-08-25,19562.35,19830.65,18770.65,19742.6,138654633.0,45452800000.0,21.7,2.86,1.22
2015-08-26,19710.4,19948.9,19400.1,19585.85,100539645.0,33582900000.0,21.53,2.83,1.23
2015-08-27,19937.5,20172.5,19803.65,20120.75,137602234.0,47915800000.0,22.12,2.91,1.2
2015-08-28,20323.3,20427.1,20091.95,20215.35,95704969.0,37297500000.0,22.22,2.92,1.19
2015-08-31,20224.75,20419.35,20032.3,20095.75,145230065.0,75128300000.0,22.09,2.9,1.2
2015-09-01,19900.35,20118.2,19623.7,19752.65,88149124.0,32355900000.0,21.71,2.85,1.22
2015-09-02,19906.4,19979.75,19546.15,19588.55,85617865.0,32339500000.0,21.53,2.83,1.23
2015-09-03,19728.45,19901.55,19716.75,19795.75,78127651.0,29091600000.0,21.76,2.86,1.22
2015-09-04,19788.8,19788.8,19267.6,19407.6,75913168.0,29107900000.0,21.33,2.8,1.24
2015-09-07,19467.35,19514.95,18919.05,18946.8,59971543.0,22299000000.0,20.84,2.74,1.27
2015-09-08,18996.45,19161.5,18631.85,19018.75,80566719.0,29159800000.0,20.92,2.75,1.27
2015-09-09,19293.75,19491.9,19268.4,19402.5,98098027.0,29046700000.0,21.34,2.81,1.24
2015-09-10,19176.6,19568.05,18994.35,19501.75,90461856.0,28288000000.0,21.45,2.82,1.24
2015-09-11,19644.65,19720.65,19436.8,19504.6,63884444.0,21752500000.0,21.45,2.82,1.24
2015-09-14,19633.45,19828.2,19537.05,19810.5,58452423.0,20297300000.0,21.79,2.86,1.22
2015-09-15,19841.5,19889.7,19584.05,19638.3,60049446.0,21958400000.0,21.6,2.84,1.23
2015-09-16,19776.7,19785.1,19425.4,19485.1,60052973.0,25742700000.0,21.43,2.82,1.24
2015-09-18,19687.5,19840.95,19597.5,19642.45,103175729.0,39036300000.0,21.6,2.84,1.23
2015-09-21,19522.55,19716.25,19494.5,19669.55,69167148.0,23577900000.0,21.64,2.84,1.23
2015-09-22,19785.55,19795.05,19344.15,19398.8,89221027.0,32967399999.999996,21.34,2.8,1.24
2015-09-23,19173.55,19425.05,19107.05,19356.35,90851345.0,33007500000.0,21.29,2.8,1.25
2015-09-24,19389.3,19463.6,19303.95,19358.95,104344404.0,37916700000.0,21.29,2.8,1.25
2015-09-28,19448.5,19448.5,19183.85,19206.35,58343768.0,19962400000.0,21.39,2.91,1.37
